Author,Albert Einstein,Alexandre Dumas fils,Alfred Tennyson,Allen Saunders,André Gide,Ayn Rand,Bob Marley,C.S. Lewis,Charles Bukowski,Charles M. Schulz,Douglas Adams,Dr. Seuss,E.E. Cummings,Eleanor Roosevelt,Elie Wiesel,Ernest Hemingway,Friedrich Nietzsche,Garrison Keillor,George Bernard Shaw,George Carlin,George Eliot,George R.R. Martin,Harper Lee,Haruki Murakami,Helen Keller,J.D. Salinger,J.K. Rowling,J.M. Barrie,J.R.R. Tolkien,James Baldwin,Jane Austen,Jim Henson,Jimi Hendrix,John Lennon,Jorge Luis Borges,Khaled Hosseini,Madeleine L'Engle,Marilyn Monroe,Mark Twain,Martin Luther King Jr.,Mother Teresa,Pablo Neruda,Ralph Waldo Emerson,Stephenie Meyer,Steve Martin,Suzanne Collins,Terry Pratchett,Thomas A. Edison,W.C. Fields,William Nicholson
Douglas Adams,0.023519559890405273,0.0,0.0,0.0,0.0,0.0,0.027217660073173586,0.0,0.0,0.0,0.9999999999999998,0.1315703759791279,0.0,0.0,0.0,0.0,0.0,0.059132174266690256,0.0,0.0,0.0,0.0,0.0,0.1147578486474002,0.0,0.0,0.0,0.0,0.0,0.051418869525665566,0.027388382881170986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dr. Seuss,0.07626707674324326,0.0,0.0,0.0,0.0,0.06764555010006215,0.05748036338769218,0.0,0.0,0.0,0.1315703759791279,1.0000000000000002,0.0,0.03812905689853402,0.0,0.0,0.0,0.11498739474474959,0.0,0.0,0.0,0.0,0.08111132289640115,0.20244663246386144,0.0,0.015110400555545049,0.05109147352367288,0.051826185314119484,0.0,0.07178020813359445,0.06787745010122019,0.028595063559717238,0.0,0.036465360046486796,0.0495644411675545,0.0,0.0,0.14145323327828216,0.011882531687228519,0.0,0.08217568999613907,0.012450204109996177,0.04281601293847924,0.03310268418057156,0.060948013277561455,0.0992185110513926,0.027999753822566215,0.04035349398757049,0.0,0.13296749796336693
E.E. Cummings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1128829845547603,0.0,0.0,0.10073588736608154,0.09647506039447593,0.0,0.0,0.0,0.09425176594824165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eleanor Roosevelt,0.03407980826291797,0.0,0.0,0.0,0.0,0.0,0.0705267461291702,0.05406939045391292,0.0,0.0,0.0,0.03812905689853402,0.0,1.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038968351373645224,0.019994220672833456,0.0,0.0,0.0,0.06774345245131183,0.0,0.0,0.0,0.0,0.0,0.0,0.048417325784137155,0.0,0.0,0.0,0.03210794622210679,0.07221587548395386,0.08536881757816443,0.2502993931263967,0.0425609763799773,0.0,0.0,0.0,0.15503112975554345
Elie Wiesel,0.026114212935924894,0.0,0.0,0.041711218519603695,0.0,0.0,0.00693605268336383,0.018184127902888786,0.0,0.024032634668852446,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.01783225714402164,0.0,0.06814017857666488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01741009759905899,0.0,0.0,0.05241361483539792,0.020938677248362562,0.0,0.027621783502558818,0.0,0.0,0.0,0.0,0.02911222089545894,0.04235042722989598,0.0,0.032377340369390724,0.031334233961269026,0.0,0.0,0.0,0.01629492079380072,0.0,0.0,0.05888332164794456,0.0
Ernest Hemingway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023716320900439236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15458072494596065,0.0,0.0,0.0,0.0,0.02730889221110257,0.0,0.0,0.0,0.0,0.0,0.11496788797354929,0.0,0.032184357605065474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Friedrich Nietzsche,0.0,0.0,0.0,0.0,0.0,0.0,0.08307829592249646,0.039688330707218146,0.0,0.05245317001711399,0.0,0.0,0.0,0.0,0.01783225714402164,0.0,1.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01171382009131071,0.0,0.0,0.11439695597486199,0.04570035756692512,0.0,0.0,0.0,0.0,0.0,0.0,0.03772195218305983,0.0,0.0,0.07066616550780003,0.06838950135819429,0.0,0.0,0.0,0.03556498330665332,0.0,0.0,0.0,0.0
Garrison Keillor,0.014756287640267863,0.0,0.0,0.0,0.0,0.0,0.05779536888626521,0.03558398725535084,0.04759753723667249,0.0,0.059132174266690256,0.11498739474474959,0.0,0.0,0.0,0.0,0.0,1.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.07199963908806722,0.0,0.0,0.031507328533084265,0.0,0.0,0.032260451827912595,0.017183606227309522,0.0,0.0,0.0,0.0,0.0,0.0,0.0956308016267392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Bernard Shaw,0.14996135212037157,0.0,0.0,0.2395274459596312,0.0,0.15750460603823235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06814017857666488,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1586186040599193,0.0,0.0,0.0,0.0,0.06792845204659505,0.13720377167771397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Carlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Eliot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George R.R. Martin,0.03160796023620231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07303987996001289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.08781762679331646,0.0,0.0,0.016116320489960746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010738165771565559,0.12049140576011566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051991057965956274,0.0,0.0,0.0
Harper Lee,0.09650457907077539,0.0,0.11958023994866028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08111132289640115,0.1128829845547603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06015382181419627,0.0288047474649891,0.0,0.0,0.0,0.08442280228177432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13054242978163955,0.0,0.0,0.0,0.0,0.06569960748020941,0.06980740195713743,0.0,0.0,0.0
Haruki Murakami,0.20043732035815953,0.0,0.0,0.0,0.0,0.0,0.08885020682642494,0.042749276434961195,0.0,0.0,0.1147578486474002,0.20244663246386144,0.0,0.0,0.0,0.0,0.0,0.07199963908806722,0.0,0.0,0.0,0.08781762679331646,0.0,1.0,0.0,0.10522289576695255,0.0,0.0,0.0,0.0626078796201105,0.08257321398663497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11788826551681168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31771573939140274
Helen Keller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030115551376451614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05325600328572138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.D. Salinger,0.013505698687466445,0.0,0.0,0.0,0.0,0.0,0.0,0.03942446077324639,0.038832263501120616,0.09847583076286327,0.0,0.015110400555545049,0.10073588736608154,0.038968351373645224,0.0,0.15458072494596065,0.0,0.0,0.0,0.0,0.0,0.0,0.06015382181419627,0.10522289576695255,0.0,1.0000000000000004,0.0,0.0,0.0,0.0,0.11134931584161373,0.0,0.0,0.0,0.0,0.0,0.08539277123764387,0.05923808596689796,0.02390503587429722,0.0,0.0,0.0,0.0,0.07364888999454594,0.06228959722885054,0.03671795810688579,0.0,0.0,0.0,0.0
